segment_id,total_crimes
34854,24.0
224811,12.0
128172,8.0
208851,8.0
224633,8.0
173441,8.0
168703,8.0
89585,8.0
65895,8.0
129781,8.0
127782,8.0
206535,8.0
72536,8.0
117943,8.0
129193,8.0
14306,8.0
61317,4.0
65372,4.0
158473,4.0
40720,4.0
41588,4.0
225408,4.0
106055,4.0
129132,4.0
226238,4.0
54863,4.0
196616,4.0
182951,4.0
197997,4.0
202021,4.0
68046,4.0
108195,4.0
114829,4.0
132903,4.0
151988,4.0
215138,4.0
177374,4.0
188978,4.0
219305,4.0
133841,4.0
13199,4.0
114932,4.0
222631,4.0
149074,4.0
206059,4.0
6431,4.0
180268,4.0
172824,4.0
127720,4.0
8112,4.0
32052,4.0
132683,4.0
34803,4.0
224663,4.0
20711,4.0
74733,4.0
144427,4.0
168573,4.0
69957,4.0
161502,4.0
119449,4.0
129425,4.0
110913,4.0
65523,4.0
217907,4.0
49576,4.0
139534,4.0
65516,4.0
10562,4.0
218376,4.0
181877,4.0
206879,4.0
50040,4.0
145547,4.0
144736,4.0
18185,4.0
127449,4.0
158347,4.0
213057,4.0
151625,4.0
172097,4.0
11654,4.0
124314,4.0
170661,4.0
27852,4.0
116643,4.0
129218,4.0
128293,4.0
178642,4.0
199130,4.0
114877,4.0
169355,4.0
223682,4.0
59158,4.0
147142,4.0
171197,4.0
30846,4.0
189189,4.0
202169,4.0
203513,4.0
10998,4.0
13713,4.0
131892,4.0
7199,4.0
147259,4.0
51506,4.0
132098,4.0
9469,4.0
147037,4.0
113089,4.0
135819,4.0
3674,4.0
75454,4.0
137057,4.0
223322,4.0
222541,4.0
19012,4.0
137053,4.0
256,4.0
149300,4.0
145707,4.0
130131,4.0
222813,4.0
6050,4.0
108943,4.0
210327,4.0
73542,4.0
111291,4.0
35776,4.0
224167,4.0
192757,4.0
186962,4.0
226956,4.0
100605,4.0
160500,4.0
60537,4.0
45047,4.0
57935,4.0
12562,4.0
26097,4.0
127553,4.0
68167,4.0
159581,4.0
129304,4.0
116308,4.0
202817,4.0
21112,4.0
46548,4.0
145750,4.0
172988,4.0
132304,4.0
162961,4.0
156523,4.0
9418,4.0
83602,4.0
105975,4.0
15154,4.0
21166,4.0
144057,4.0
46412,4.0
95797,4.0
131684,4.0
200490,4.0
225159,4.0
226344,4.0
148015,4.0
145340,4.0
12940,4.0
92437,4.0
196244,4.0
973,4.0
7391,4.0
53948,4.0
108449,4.0
16466,4.0
86760,4.0
143418,4.0
134476,4.0
106089,4.0
138882,4.0
118755,4.0
137936,4.0
76832,4.0
114033,4.0
5862,4.0
142582,4.0
18213,4.0
107862,4.0
69240,4.0
